detuning (MHz),p11+p22
-4.0,0.9746788770708474
-3.959798994974874,0.9720313711180963
-3.919597989949749,0.9698040148930622
-3.879396984924623,0.9683907143808559
-3.8391959798994977,0.9680533698049565
-3.7989949748743714,0.9688737664589676
-3.758793969849246,0.9707361852518641
-3.7185929648241203,0.9733437585010827
-3.678391959798995,0.9762661636762424
-3.638190954773869,0.9790011598032504
-3.5979899497487438,0.9810785636706892
-3.557788944723618,0.9821179968236514
-3.5175879396984926,0.9819199781536079
-3.477386934673367,0.9804933674744342
-3.437185929648241,0.9780591965754089
-3.396984924623115,0.9750174607553125
-3.35678391959799,0.9718824181908586
-3.316582914572864,0.9691965516631986
-3.2763819095477387,0.9674369271452232
-3.236180904522613,0.9669328388546558
-3.1959798994974875,0.9678019327560899
-3.1557788944723617,0.9699280297703399
-3.1155778894472363,0.972978155741529
-3.07537688442211,0.9764436010724393
-3.035175879396985,0.979727690577122
-2.994974874371859,0.9822532424897545
-2.9547738693467336,0.9835740747658563
-2.914572864321608,0.9834190036652901
-2.8743718592964824,0.9817796662449547
-2.8341708542713566,0.9789060452006384
-2.793969849246231,0.9752689922929647
-2.7537688442211055,0.9714848555552639
-2.7135678391959797,0.9682125603982341
-2.6733668341708547,0.9660398692611061
-2.6331658291457285,0.9653787742307252
-2.592964824120603,0.9663880256123394
-2.5527638190954773,0.9689388995364436
-2.512562814070352,0.9726339563630712
-2.472361809045226,0.9768550861875959
-2.4321608040201004,0.980870057112447
-2.391959798994975,0.9839675297196259
-2.351758793969849,0.9855751925919075
-2.311557788944724,0.9853696453793532
-2.271356783919598,0.9833287195904943
-2.2311557788944723,0.9797584393154593
-2.190954773869347,0.9752455653567316
-2.150753768844221,0.9705605549256281
-2.1105527638190957,0.9665306751648386
-2.07035175879397,0.9638932071841242
-2.030150753768844,0.9631639077911369
-1.9899497487437185,0.964536310677889
-1.949748743718593,0.9678364571806874
-1.9095477386934674,0.9725483717984091
-1.8693467336683416,0.9778738054174991
-1.829145728643216,0.9828741523453828
-1.7889447236180904,0.9866428058702084
-1.748743718592965,0.9884588316623103
-1.7085427135678395,0.9879297491299123
-1.668341708542714,0.9850639929330534
-1.6281407035175883,0.9802949060362216
-1.5879396984924623,0.9744198164258207
-1.5477386934673367,0.9684632196513859
-1.5075376884422111,0.9635068790936192
-1.4673366834170856,0.9604919600332158
-1.42713567839196,0.9600431378182788
-1.3869346733668344,0.9623421913593491
-1.3467336683417088,0.9670789527631369
-1.3065326633165832,0.973481214910737
-1.2663316582914577,0.9804338123073919
-1.2261306532663316,0.9866613372341015
-1.185929648241206,0.9909899806843473
-1.1457286432160805,0.9925388764682543
-1.105527638190955,0.9909014556927328
-1.0653266331658293,0.9862559221575176
-1.0251256281407037,0.9793557036851601
-0.9849246231155782,0.9714101364839809
-0.9447236180904526,0.9638767798163539
-0.904522613065327,0.9581983951803112
-0.864321608040201,0.955528175221858
-0.8241206030150754,0.9564967603335084
-0.7839195979899498,0.9610629307052325
-0.7437185929648242,0.9684908414954395
-0.7035175879396987,0.9774687210657921
-0.6633165829145731,0.9863133534965641
-0.6231155778894475,0.9932989040097162
-0.5829145728643219,0.9970017485500053
-0.5427135678391964,0.9965919849452256
-0.5025125628140703,0.9920082772517482
-0.4623115577889448,0.9840145978007119
-0.4221105527638192,0.9740912064405414
-0.3819095477386936,0.964142102897745
-0.34170854271356804,0.956131473033337
-0.3015075376884425,0.9516935625572653
-0.26130653266331694,0.9517876688156566
-0.22110552763819136,0.9564849663497694
-0.18090452261306578,0.9649290896505796
