,I1,I2,contrast,fwhm
0,1.0,1.0,0.050023092288358155,0.28035043804755944
1,1.0,1.5,0.05632698266056415,0.2903629536921154
2,1.0,2.0,0.05844908145237255,0.2903629536921154
3,1.0,2.5,0.05845641292110559,0.2903629536921154
4,1.0,3.0,0.057245428532424036,0.2903629536921154
5,1.5,1.5,0.06594369636256174,0.28035043804755944
6,1.5,2.0,0.07049782230159586,0.3003754693366708
7,1.5,2.5,0.07201235459206289,0.3003754693366708
8,1.5,3.0,0.07168161048445479,0.2903629536921154
9,2.0,2.0,0.07696200519515438,0.2903629536921154
10,2.0,2.5,0.07991955811180262,0.2903629536921154
11,2.0,3.0,0.08060861087972078,0.3003754693366708
12,2.5,2.5,0.08408304209220474,0.3003754693366708
13,2.5,3.0,0.08574054808582512,0.3003754693366708
14,3.0,3.0,0.08822849069474571,0.3003754693366708
